 (0.000000000000000000e+00+0.000000000000000000e+00j)  (-4.335198445104419644e-03-4.527053569627359497e-02j)
 (2.030254435170025147e+02+0.000000000000000000e+00j)  (-2.306160599921880730e-02+3.923389157597206855e-02j)
 (4.060508870340050294e+02+0.000000000000000000e+00j)  (4.167112420783880555e-02-1.837342672545275515e-02j)
 (6.090763305510075725e+02+0.000000000000000000e+00j)  (-4.460982159889420595e-02-9.326148632212484871e-03j)
 (8.336202015714954996e+02+0.000000000000000000e+00j)  (3.871348230552616732e-02+2.411564848414645551e-02j)
 (1.058164072591983313e+03+0.000000000000000000e+00j)  (-2.820581893120092942e-02-3.588915698762328021e-02j)
 (1.282707943612471126e+03+0.000000000000000000e+00j)  (1.445368577295543314e-02+4.333588156918547624e-02j)
 (1.467515739795259378e+03+0.000000000000000000e+00j)  (2.250348277542123590e-02-3.978982144548692812e-02j)
 (1.652323535978047630e+03+0.000000000000000000e+00j)  (-4.462212786092574490e-02+1.006204730226123618e-02j)
 (1.853966855629225392e+03+0.000000000000000000e+00j)  (4.216823038440886684e-02+1.781102854359665685e-02j)
 (2.061282429257845251e+03+0.000000000000000000e+00j)  (-2.674862539402040468e-02-3.718898602769661610e-02j)
 (2.268598002886465110e+03+0.000000000000000000e+00j)  (3.613889509846697316e-03+4.570094284443437099e-02j)
 (2.455442263773614741e+03+0.000000000000000000e+00j)  (3.023458246710217581e-02-3.450113958704920103e-02j)
 (2.642286524660764371e+03+0.000000000000000000e+00j)  (-4.583544268032909569e-02+2.530176723663908177e-03j)
 (2.829130785547914002e+03+0.000000000000000000e+00j)  (3.396964480552581295e-02+3.092248892738110391e-02j)
 (3.027153373660432408e+03+0.000000000000000000e+00j)  (-8.313844224028078128e-03-4.521123866873538732e-02j)
 (3.225175961772950814e+03+0.000000000000000000e+00j)  (-2.066258465684208193e-02+4.110095719566789901e-02j)
 (3.427045992777831998e+03+0.000000000000000000e+00j)  (4.020924501826358272e-02-2.241806104314273546e-02j)
 (3.609782382864819283e+03+0.000000000000000000e+00j)  (-4.363363103507888335e-02-1.477463594573388481e-02j)
 (3.792518772951806568e+03+0.000000000000000000e+00j)  (1.844239038579228995e-02+4.224811485717240578e-02j)
 (3.980004552191112452e+03+0.000000000000000000e+00j)  (1.619092947601889765e-02-4.319504865201627408e-02j)
 (4.174370772444131035e+03+0.000000000000000000e+00j)  (-3.979093471503988844e-02+2.340302940869107978e-02j)
 (4.368736992697149617e+03+0.000000000000000000e+00j)  (4.570406367638071843e-02+6.725685158694626360e-03j)
 (4.565346115580381593e+03+0.000000000000000000e+00j)  (-3.245169740571621220e-02-3.292569863869724417e-02j)
 (4.762019038071684008e+03+0.000000000000000000e+00j)  (6.237569276565156293e-03+4.584138797132382426e-02j)
 (4.958691960562986424e+03+0.000000000000000000e+00j)  (2.239282461257390347e-02-4.052212387626028672e-02j)
 (5.155364883054288839e+03+0.000000000000000000e+00j)  (-4.213881985559411736e-02+1.926043474102088343e-02j)
 (5.347554054654207903e+03+0.000000000000000000e+00j)  (4.477304185782068208e-02+1.204699807180969855e-02j)
 (5.539743226254126967e+03+0.000000000000000000e+00j)  (-2.692702214540617506e-02-3.778641269817639009e-02j)
 (5.733314156824241763e+03+0.000000000000000000e+00j)  (-2.286143763438004683e-03+4.637673231632025855e-02j)
 (5.926885087394356560e+03+0.000000000000000000e+00j)  (3.045938126080686981e-02-3.509150190502850764e-02j)
 (6.120456017964471357e+03+0.000000000000000000e+00j)  (-4.563643155292003428e-02+8.926453896553335904e-03j)
 (6.330352611569530382e+03+0.000000000000000000e+00j)  (4.500575748014006006e-02+1.184563444976285268e-02j)
 (6.540249205174589406e+03+0.000000000000000000e+00j)  (-3.548663612154413088e-02-3.016666745603286889e-02j)
 (6.750145798779648430e+03+0.000000000000000000e+00j)  (1.911079532661570657e-02+4.251597556901994673e-02j)
