0.000000000000000000e+00 2.975942790190807585e+01 0.000000000000000000e+00 -6.519166451648192708e-05 5.808289134651209551e+00 8.150466821823565411e+00 6.189554553154733713e-03 6.189554568468058106e-03
2.030254435170025147e+02 2.974684613048385273e+01 1.257037185421218783e+00 -6.519888053716761612e-05 5.807233848138685595e+00 8.150460287989044872e+00 6.193496709239882693e-03 6.193496724566597417e-03
4.788832268855087477e+02 2.972973298186525071e+01 2.966301361648842505e+00 -6.535268807860871896e-05 5.805797493959898858e+00 8.150451388079229531e+00 6.198864616280093907e-03 6.198864631692884743e-03
7.547410102540150092e+02 2.971256389348685190e+01 4.677049897150643787e+00 -6.559194434985115489e-05 5.804358246644121699e+00 8.150442462498567409e+00 6.204260048868840034e-03 6.204260064408540637e-03
1.030598793622521271e+03 2.969534744967817019e+01 6.389290482463978904e+00 -6.569334030735024792e-05 5.802916087798427824e+00 8.150433511061560665e+00 6.209679644124991259e-03 6.209679659726729910e-03
1.311740136376027522e+03 2.967779297439089703e+01 8.135865695223058580e+00 -6.569314224023424899e-05 5.801443298916664659e+00 8.150424361438680876e+00 6.215211719735694654e-03 6.215211735351586046e-03
1.592881479129533773e+03 2.966022525823843736e+01 9.883997363205221376e+00 -6.582608796671976753e-05 5.799967465790623500e+00 8.150415184733077467e+00 6.220754535204084390e-03 6.220754550897577770e-03
1.874022821883040024e+03 2.964260257222854733e+01 1.163369091886210960e+01 -6.607427664845316035e-05 5.798488574179302191e+00 8.150405980793825833e+00 6.226324935399904330e-03 6.226324951226472684e-03
2.155164164636546502e+03 2.962492656785139999e+01 1.338495466664045530e+01 -6.619762183228485887e-05 5.797006604118369211e+00 8.150396749418808540e+00 6.231922337826730114e-03 6.231922353727083197e-03
2.436510594163365113e+03 2.960722590164228762e+01 1.513907307675143343e+01 -6.619914399480506038e-05 5.795520457217245180e+00 8.150387483694789381e+00 6.237534114042008783e-03 6.237534129957769680e-03
