  2.003230000000e+05 -3.210599121789e-03 -1.240760193382e-01  1.241175512227e-01  2.423712861953e+03  4.821441354662e-02  4.821441354662e-02  1.222750912727e-05
  2.003240000000e+05  2.774288086679e-03 -1.241072329422e-01  1.241382372316e-01  2.423761082482e+03  4.822664704140e-02  4.822664704140e-02  1.223949077832e-05
  2.003250000000e+05  8.756236599998e-03 -1.238497927843e-01  1.241589418934e-01  2.423809315251e+03  4.823889252817e-02  4.823889252817e-02  1.225149312769e-05
  2.003260000000e+05  1.472132296775e-02 -1.233039817240e-01  1.241796652392e-01  2.423857560271e+03  4.825115002766e-02  4.825115002766e-02  1.226351622701e-05
  2.003270000000e+05  2.065564065649e-02 -1.224707543967e-01  1.242004072997e-01  2.423905817555e+03  4.826341956063e-02  4.826341956063e-02  1.227556012809e-05
  2.003280000000e+05  2.654533247097e-02 -1.213517364098e-01  1.242211681062e-01  2.423954087114e+03  4.827570114791e-02  4.827570114791e-02  1.228762488290e-05
  2.003290000000e+05  3.237662294590e-02 -1.199492219748e-01  1.242419476897e-01  2.424002368961e+03  4.828799481039e-02  4.828799481039e-02  1.229971054357e-05
  2.003300000000e+05  3.813585063193e-02 -1.182661699739e-01  1.242627460815e-01  2.424050663108e+03  4.830030056900e-02  4.830030056900e-02  1.231181716244e-05
  2.003310000000e+05  4.380950020078e-02 -1.163061984672e-01  1.242835633128e-01  2.424098969566e+03  4.831261844472e-02  4.831261844472e-02  1.232394479197e-05
  2.003320000000e+05  4.938423429369e-02 -1.140735776468e-01  1.243043994150e-01  2.424147288349e+03  4.832494845858e-02  4.832494845858e-02  1.233609348479e-05
  2.003330000000e+05  5.484692503845e-02 -1.115732212510e-01  1.243252544196e-01  2.424195619467e+03  4.833729063169e-02  4.833729063169e-02  1.234826329372e-05
  2.003340000000e+05  6.018468516015e-02 -1.088106764513e-01  1.243461283580e-01  2.424243962934e+03  4.834964498517e-02  4.834964498517e-02  1.236045427176e-05
  2.003350000000e+05  6.538489861139e-02 -1.057921122349e-01  1.243670212618e-01  2.424292318761e+03  4.836201154023e-02  4.836201154023e-02  1.237266647205e-05
  2.003360000000e+05  7.043525064969e-02 -1.025243063007e-01  1.243879331628e-01  2.424340686961e+03  4.837439031811e-02  4.837439031811e-02  1.238489994791e-05
  2.003370000000e+05  7.532375728901e-02 -9.901463049822e-02  1.244088640927e-01  2.424389067546e+03  4.838678134013e-02  4.838678134013e-02  1.239715475285e-05
  2.003380000000e+05  8.003879405530e-02 -9.527103483728e-02  1.244298140833e-01  2.424437460528e+03  4.839918462762e-02  4.839918462762e-02  1.240943094053e-05
  2.003390000000e+05  8.456912397628e-02 -9.130203010131e-02  1.244507831664e-01  2.424485865919e+03  4.841160020201e-02  4.841160020201e-02  1.242172856480e-05
  2.003400000000e+05  8.890392473716e-02 -8.711666910158e-02  1.244717713742e-01  2.424534283732e+03  4.842402808475e-02  4.842402808475e-02  1.243404767967e-05
  2.003410000000e+05  9.303281493671e-02 -8.272452661096e-02  1.244927787386e-01  2.424582713980e+03  4.843646829737e-02  4.843646829737e-02  1.244638833931e-05
  2.003420000000e+05  9.694587937862e-02 -7.813567802064e-02  1.245138052918e-01  2.424631156673e+03  4.844892086143e-02  4.844892086143e-02  1.245875059812e-05
  2.003430000000e+05  1.006336933363e-01 -7.336067676568e-02  1.245348510660e-01  2.424679611825e+03  4.846138579856e-02  4.846138579856e-02  1.247113451060e-05
  2.003440000000e+05  1.040873457305e-01 -6.841053056859e-02  1.245559160935e-01  2.424728079449e+03  4.847386313045e-02  4.847386313045e-02  1.248354013151e-05
  2.003450000000e+05  1.072984611620e-01 -6.329667655259e-02  1.245770004067e-01  2.424776559556e+03  4.848635287883e-02  4.848635287883e-02  1.249596751571e-05
  2.003460000000e+05  1.102592207443e-01 -5.803095528013e-02  1.245981040380e-01  2.424825052159e+03  4.849885506548e-02  4.849885506548e-02  1.250841671827e-05
  2.003470000000e+05  1.129623816834e-01 -5.262558377352e-02  1.246192270201e-01  2.424873557270e+03  4.851136971226e-02  4.851136971226e-02  1.252088779446e-05
  2.003480000000e+05  1.154012955535e-01 -4.709312757837e-02  1.246403693854e-01  2.424922074902e+03  4.852389684107e-02  4.852389684107e-02  1.253338079967e-05
  2.003490000000e+05  1.175699252241e-01 -4.144647193236e-02  1.246615311667e-01  2.424970605068e+03  4.853643647386e-02  4.853643647386e-02  1.254589578953e-05
  2.003500000000e+05  1.194628603915e-01 -3.569879210449e-02  1.246827123968e-01  2.425019147780e+03  4.854898863265e-02  4.854898863265e-02  1.255843281980e-05
  2.003510000000e+05  1.210753316754e-01 -2.986352297186e-02  1.247039131086e-01  2.425067703049e+03  4.856155333950e-02  4.856155333950e-02  1.257099194648e-05
  2.003520000000e+05  1.224032232423e-01 -2.395432790342e-02  1.247251333349e-01  2.425116270890e+03  4.857413061654e-02  4.857413061654e-02  1.258357322569e-05
  2.003530000000e+05  1.234430839215e-01 -1.798506702153e-02  1.247463731088e-01  2.425164851315e+03  4.858672048595e-02  4.858672048595e-02  1.259617671378e-05
  2.003540000000e+05  1.241921367818e-01 -1.196976491470e-02  1.247676324635e-01  2.425213444336e+03  4.859932296997e-02  4.859932296997e-02  1.260880246723e-05
  2.003550000000e+05  1.246482871430e-01 -5.922577875702e-03  1.247889114320e-01  2.425262049965e+03  4.861193809089e-02  4.861193809089e-02  1.262145054275e-05
  2.003560000000e+05  1.248101289966e-01  1.422392594002e-04  1.248102100477e-01  2.425310668216e+03  4.862456587106e-02  4.862456587106e-02  1.263412099723e-05
