# time (s)	h_+ (strain)	h_x (strain)
-2.240238898	6.044613825623689383e-20	-1.918264563729189059e-20
-2.240177863	6.060622146812960464e-20	-1.867156403006550657e-20
-2.240116828	6.076198500771593627e-20	-1.815914088783540711e-20
-2.240055793	6.091341758673408294e-20	-1.764541270779529398e-20
-2.239994757	6.106050822518582742e-20	-1.713041608250429943e-20
-2.239933722	6.120324625214415571e-20	-1.661418769728848538e-20
-2.239872687	6.134162130654096235e-20	-1.609676432762863242e-20
-2.239811652	6.147562333793139186e-20	-1.557818283654642785e-20
-2.239750617	6.160524260723772916e-20	-1.505848017197727158e-20
-2.239689582	6.173046968746883073e-20	-1.453769336414625673e-20
-2.239628546	6.185129546441976678e-20	-1.401585952292845697e-20
-2.239567511	6.196771113734799117e-20	-1.349301583520755873e-20
-2.239506476	6.207970821962555764e-20	-1.296919956223672479e-20
-2.239445441	6.218727853937939517e-20	-1.244444803697472923e-20
-2.239384406	6.229041424020544281e-20	-1.191879866148084381e-20
-2.239323371	6.238910778175214629e-20	-1.139228890423475441e-20
-2.239262336	6.248335194018197102e-20	-1.086495629743470107e-20
-2.239201300	6.257313980871033742e-20	-1.033683843431539932e-20
-2.239140265	6.265846479812361190e-20	-9.807972966476506040e-21
-2.239079230	6.273932063727635783e-20	-9.278397601195012785e-21
-2.239018195	6.281570137356410322e-20	-8.748150098745910124e-21
-2.238957160	6.288760137337577777e-20	-8.217268269700929451e-21
-2.238896125	6.295501532252061934e-20	-7.685789972247523612e-21
-2.238835089	6.301793822663535160e-20	-7.153753109475583708e-21
-2.238774054	6.307636541156510895e-20	-6.621195626692860509e-21
-2.238713019	6.313029252372546317e-20	-6.088155508703102589e-21
-2.238651984	6.317971553043801672e-20	-5.554670777111523850e-21
-2.238590949	6.322463072024565341e-20	-5.020779487604983437e-21
-2.238529914	6.326503470319971862e-20	-4.486519727245333448e-21
-2.238468878	6.330092441107811881e-20	-3.951929611742233671e-21
-2.238407843	6.333229709764151841e-20	-3.417047282747533729e-21
-2.238346808	6.335915033889843195e-20	-2.881910905126734775e-21
-2.238285773	6.338148203330535233e-20	-2.346558664249204560e-21
-2.238224738	6.339929040194420118e-20	-1.811028763252239340e-21
-2.238163703	6.341257398867517542e-20	-1.275359420325186498e-21
-2.238102668	6.342133166026798743e-20	-7.395888659733131107e-22
-2.238041632	6.342556260650897077e-20	-2.037553402994153332e-22
-2.237980597	6.342526634028596554e-20	3.321029097371557144e-22
-2.237919562	6.342044269764946672e-20	8.679476330379100058e-22
-2.237858527	6.341109183785110657e-20	1.403740577107543721e-21
-2.237797492	6.339721424335918252e-20	1.939443490775016757e-21
-2.237736457	6.337881071984389966e-20	2.475018126932589534e-21
-2.237675421	6.335588239610278917e-20	3.010426245243025938e-21
-2.237614386	6.332843072403360081e-20	3.545629614886999153e-21
-2.237553351	6.329645747858184542e-20	4.080590017293281673e-21
-2.237492316	6.325996475764068266e-20	4.615269248871442035e-21
-2.237431281	6.321895498192822727e-20	5.149629123736555339e-21
-2.237370246	6.317343089484042002e-20	5.683631476449101148e-21
-2.237309211	6.312339556228335145e-20	6.217238164723149755e-21
-2.237248175	6.306885237247926056e-20	6.750411072172678849e-21
-2.237187140	6.300980503575258801e-20	7.283112111019525811e-21
-2.237126105	6.294625758429101644e-20	7.815303224824701685e-21
-2.237065070	6.287821437188419394e-20	8.346946391204286430e-21
-2.237004035	6.280568007363926217e-20	8.878003624552146177e-21
-2.236943000	6.272865968574369014e-20	9.408436978758153883e-21
-2.236881964	6.264715852536708789e-20	9.938208549956634310e-21
-2.236820929	6.256118223008682197e-20	1.046728047921680840e-20
-2.236759894	6.247073675742779035e-20	1.099561495525118344e-20
-2.236698859	6.237582838446525964e-20	1.152317421710761339e-20
-2.236637824	6.227646370740001690e-20	1.204992055688471569e-20
-2.236576789	6.217264964111603174e-20	1.257581632241625497e-20
-2.236515753	6.206439341870993957e-20	1.310082391997661421e-20
-2.236454718	6.195170259100245724e-20	1.362490581696201723e-20
-2.236393683	6.183458502602390700e-20	1.414802454458183975e-20
-2.236332648	6.171304890847860329e-20	1.467014270053674888e-20
-2.236271613	6.158710273918583959e-20	1.519122295169859101e-20
-2.236210578	6.145675533449699368e-20	1.571122803678539717e-20
-2.236149543	6.132201582552867044e-20	1.623012076897111740e-20
-2.236088507	6.118289365729052044e-20	1.674786403848563517e-20
-2.236027472	6.103939858839139118e-20	1.726442081534541715e-20
-2.235966437	6.089154069042833783e-20	1.777975415203151868e-20
-2.235905402	6.073933034729468476e-20	1.829382718612999169e-20
-2.235844367	6.058277825446232775e-20	1.880660314297862398e-20
-2.235783332	6.042189541824577597e-20	1.931804533829380834e-20
-2.235722296	6.025669315503894205e-20	1.982811718080769439e-20
-2.235661261	6.008718309053500805e-20	2.033678217488170257e-20
-2.235600226	5.991337715891840156e-20	2.084400392313148540e-20
-2.235539191	5.973528760204132820e-20	2.134974612902467600e-20
-2.235478156	5.955292696857054861e-20	2.185397259949464879e-20
-2.235417121	5.936630811312418864e-20	2.235664724752583977e-20
-2.235356086	5.917544419558949070e-20	2.285773409482556805e-20
-2.235295050	5.898034868030771210e-20	2.335719727444156419e-20
-2.235234015	5.878103533483660667e-20	2.385500103324906804e-20
-2.235172980	5.857751822897031908e-20	2.435110973449494603e-20
-2.235111945	5.836981173375468087e-20	2.484548786036395676e-20
-2.235050910	5.815793052048794172e-20	2.533810001451920301e-20
-2.234989875	5.794188955969355068e-20	2.582891092464908086e-20
-2.234928839	5.772170412007837243e-20	2.631788544498997102e-20
-2.234867804	5.749738976746294162e-20	2.680498855885500591e-20
-2.234806769	5.726896236369468461e-20	2.729018538114388444e-20
-2.234745734	5.703643806553807831e-20	2.777344116084774545e-20
-2.234684699	5.679983332354409316e-20	2.825472128354385192e-20
-2.234623664	5.655916488089741574e-20	2.873399127388237874e-20
-2.234562628	5.631444977222919722e-20	2.921121679804521742e-20
-2.234501593	5.606570532232571732e-20	2.968636366617125751e-20
-2.234440558	5.581294914499239862e-20	3.015939783483094179e-20
-2.234379523	5.555619914185253182e-20	3.063028540950878994e-20
-2.234318488	5.529547350109691389e-20	3.109899264702814436e-20
-2.234257453	5.503079069620388704e-20	3.156548595798194653e-20
-2.234196418	5.476216948464464438e-20	3.202973190914176241e-20
-2.234135382	5.448962890656259565e-20	3.249169722586602542e-20
-2.234074347	5.421318828343916726e-20	3.295134879448557153e-20
-2.234013312	5.393286721673216373e-20	3.340865366468939698e-20
-2.233952277	5.364868558650054547e-20	3.386357905188924891e-20
-2.233891242	5.336066355000238781e-20	3.431609233958213950e-20
-2.233830207	5.306882154028063456e-20	3.476616108169011015e-20
-2.233769171	5.277318026472126864e-20	3.521375300489903263e-20
-2.233708136	5.247376070359714649e-20	3.565883601097489495e-20
-2.233647101	5.217058410856426210e-20	3.610137817904182136e-20
-2.233586066	5.186367200116957258e-20	3.654134776787035404e-20
-2.233525031	5.155304617135201683e-20	3.697871321820770186e-20
-2.233463996	5.123872867591693219e-20	3.741344315503780720e-20
-2.233402961	5.092074183697255449e-20	3.784550638985162611e-20
-2.233341925	5.059910824036252771e-20	3.827487192288319920e-20
-2.233280890	5.027385073406614835e-20	3.870150894535038688e-20
-2.233219855	4.994499242659306064e-20	3.912538684166435032e-20
-2.233158820	4.961255668534404345e-20	3.954647519164550240e-20
-2.233097785	4.927656713496889019e-20	3.996474377270483402e-20
-2.233036750	4.893704765569377473e-20	4.038016256202717236e-20
-2.232975714	4.859402238163544886e-20	4.079270173873324787e-20
-2.232914679	4.824751569909680626e-20	4.120233168602817146e-20
-2.232853644	4.789755224484062944e-20	4.160902299333976441e-20
-2.232792609	4.754415690435471800e-20	4.201274645843253131e-20
-2.232731574	4.718735481014023046e-20	4.241347308956968496e-20
-2.232670539	4.682717133997817879e-20	4.281117410763458221e-20
-2.232609503	4.646363211503971795e-20	4.320582094814060648e-20
-2.232548468	4.609676299807137227e-20	4.359738526327557244e-20
-2.232487433	4.572659009155763201e-20	4.398583892395488770e-20
-2.232426398	4.535313973588073936e-20	4.437115402184357463e-20
-2.232365363	4.497643850744873268e-20	4.475330287137825608e-20
-2.232304328	4.459651321682120372e-20	4.513225801175806134e-20
-2.232243293	4.421339090680363205e-20	4.550799220893417203e-20
-2.232182257	4.382709885053769910e-20	4.588047845757086406e-20
-2.232121222	4.343766454956327309e-20	4.624968998300150022e-20
-2.232060187	4.304511573187687896e-20	4.661560024315596471e-20
-2.231999152	4.264948034995950405e-20	4.697818293048505839e-20
-2.231938117	4.225078657880165319e-20	4.733741197385558371e-20
-2.231877082	4.184906281389820287e-20	4.769326154044211955e-20
-2.231816046	4.144433766924368270e-20	4.804570603758551949e-20
-2.231755011	4.103663997528906236e-20	4.839472011462989389e-20
-2.231693976	4.062599877689746725e-20	4.874027866474399196e-20
-2.231632941	4.021244333129292461e-20	4.908235682676549635e-20
-2.231571906	3.979600310598865884e-20	4.942092998699908333e-20
-2.231510871	3.937670777668764721e-20	4.975597378100464278e-20
-2.231449836	3.895458722518811693e-20	5.008746409535128877e-20
-2.231388800	3.852967153725110735e-20	5.041537706937214657e-20
-2.231327765	3.810199100047287108e-20	5.073968909688558631e-20
-2.231266730	3.767157610212774819e-20	5.106037682791023955e-20
-2.231205695	3.723845752700933718e-20	5.137741717035166247e-20
-2.231144660	3.680266615524157326e-20	5.169078729168290845e-20
-2.231083625	3.636423306009794374e-20	5.200046462058992214e-20
-2.231022589	3.592318950577907920e-20	5.230642684861864297e-20
-2.230961554	3.547956694520580628e-20	5.260865193178256078e-20
-2.230900519	3.503339701776865044e-20	5.290711809217193264e-20
-2.230839484	3.458471154709245117e-20	5.320180381952495043e-20
-2.230778449	3.413354253876599752e-20	5.349268787279535758e-20
-2.230717414	3.367992217808486834e-20	5.377974928169005735e-20
-2.230656378	3.322388282775173947e-20	5.406296734819546649e-20
-2.230595343	3.276545702557115997e-20	5.434232164807939752e-20
-2.230534308	3.230467748212968527e-20	5.461779203237824982e-20
-2.230473273	3.184157707847647366e-20	5.488935862885711127e-20
-2.230412238	3.137618886377205690e-20	5.515700184346140991e-20
-2.230351203	3.090854605295211496e-20	5.542070236173310436e-20
-2.230290168	3.043868202434717705e-20	5.568044115022538773e-20
-2.230229132	2.996663031731998709e-20	5.593619945788038957e-20
-2.230168097	2.949242462986851535e-20	5.618795881739972777e-20
-2.230107062	2.901609881623453128e-20	5.643570104658520862e-20
-2.230046027	2.853768688448506878e-20	5.667940824966789900e-20
-2.229984992	2.805722299409765314e-20	5.691906281860874298e-20
-2.229923957	2.757474145352165242e-20	5.715464743438542010e-20
-2.229862921	2.709027671773922261e-20	5.738614506825327573e-20
-2.229801886	2.660386338580497723e-20	5.761353898299091629e-20
-2.229740851	2.611553619838932531e-20	5.783681273411921455e-20
-2.229679816	2.562533003530618817e-20	5.805595017113242427e-20
-2.229618781	2.513327991304120980e-20	5.827093543867314188e-20
-2.229557746	2.463942098222450948e-20	5.848175297767398573e-20
-2.229496711	2.414378852513588623e-20	5.868838752648889935e-20
-2.229435675	2.364641795318687612e-20	5.889082412201149087e-20
-2.229374640	2.314734480438834697e-20	5.908904810077358341e-20
-2.229313605	2.264660474082794538e-20	5.928304510001474420e-20
-2.229252570	2.214423354611659048e-20	5.947280105873924694e-20
-2.229191535	2.164026712284463046e-20	5.965830221874408509e-20
-2.229130500	2.113474149001130083e-20	5.983953512563227579e-20
-2.229069464	2.062769278046526587e-20	6.001648662979723882e-20
-2.229008429	2.011915723831703239e-20	6.018914388739257450e-20
-2.228947394	1.960917121636030714e-20	6.035749436127391571e-20
-2.228886359	1.909777117346986080e-20	6.052152582192431309e-20
-2.228825324	1.858499367200952119e-20	6.068122634835163418e-20
-2.228764289	1.807087537521024230e-20	6.083658432897116894e-20
-2.228703253	1.755545304456378249e-20	6.098758846245890101e-20
-2.228642218	1.703876353718793896e-20	6.113422775859027424e-20
-2.228581183	1.652084380322093010e-20	6.127649153906332311e-20
-2.228520148	1.600173088316444271e-20	6.141436943829024200e-20
-2.228459113	1.548146190524096418e-20	6.154785140414979786e-20
-2.228398078	1.496007408272675177e-20	6.167692769873610769e-20
-2.228337043	1.443760471131002541e-20	6.180158889907751597e-20
-2.228276007	1.391409116641052161e-20	6.192182589784096744e-20
-2.228214972	1.338957090052117152e-20	6.203762990400685292e-20
-2.228153937	1.286408144052118936e-20	6.214899244352706350e-20
-2.228092902	1.233766038500456540e-20	6.225590535995504646e-20
-2.228031867	1.181034540158214801e-20	6.235836081505833526e-20
-2.227970832	1.128217422420044529e-20	6.245635128940339427e-20
-2.227909796	1.075318465043071763e-20	6.254986958292270884e-20
-2.227848761	1.022341453878069101e-20	6.263890881545392535e-20
-2.227787726	9.692901805974102673e-21	6.272346242726082724e-20
-2.227726691	9.161684424250699349e-21	6.280352417952746850e-20
-2.227665656	8.629800418639735820e-21	6.287908815483295146e-20
-2.227604621	8.097287864251696134e-21	6.295014875759937409e-20
-2.227543586	7.564184883541161965e-21	6.301670071452096324e-20
-2.227482550	7.030529643593276628e-21	6.307873907496215234e-20
-2.227421515	6.496360353382298905e-21	6.313625921133080258e-20
-2.227360480	5.961715261047879195e-21	6.318925681944491195e-20
-2.227299445	5.426632651145641795e-21	6.323772791887151879e-20
-2.227238410	4.891150841918719194e-21	6.328166885323687277e-20
-2.227177375	4.355308182545047493e-21	6.332107629051552900e-20
-2.227116339	3.819143050400161786e-21	6.335594722329475417e-20
-2.227055304	3.282693848303285993e-21	6.338627896901691686e-20
-2.226994269	2.745999001773030515e-21	6.341206917019758704e-20
-2.226933234	2.209096956268575079e-21	6.343331579462124672e-20
-2.226872199	1.672026174448066463e-21	6.345001713551274581e-20
-2.226811164	1.134825133399363132e-21	6.346217181168651358e-20
-2.226750128	5.975323218956210902e-22	6.346977876767164778e-20
-2.226689093	6.018623762991709889e-23	6.347283727381402505e-20
-2.226628058	-4.771746155339020264e-22	6.347134692635493907e-20
-2.226567023	-1.014511730331844342e-21	6.346530764748649508e-20
-2.226505988	-1.551786598848361464e-21	6.345471968538358035e-20
-2.226444953	-2.088960715282405767e-21	6.343958361421253082e-20
-2.226383918	-2.625995578705497312e-21	6.341990033411640986e-20
-2.226322882	-3.162852695819488601e-21	6.339567107119044051e-20
-2.226261847	-3.699493583707692497e-21	6.336689737748405189e-20
-2.226200812	-4.235879772610087655e-21	6.333358113086537790e-20
-2.226139777	-4.771972808672782879e-21	6.329572453488751350e-20
-2.226078742	-5.307734256716367257e-21	6.325333011865615513e-20
-2.226017707	-5.843125702992376329e-21	6.320640073667432260e-20
-2.225956671	-6.378108757926844745e-21	6.315493956866540227e-20
-2.225895636	-6.912645058889334609e-21	6.309895011936973272e-20
-2.225834601	-7.446696272933378818e-21	6.303843621832101633e-20
-2.225773566	-7.980224099553925988e-21	6.297340201959707987e-20
-2.225712531	-8.513190273430164872e-21	6.290385200154914891e-20
-2.225651496	-9.045556567179543244e-21	6.282979096650559168e-20
-2.225590461	-9.577284794086977641e-21	6.275122404045611468e-20
-2.225529425	-1.010833681086451537e-20	6.266815667270745460e-20
-2.225468390	-1.063867452037237863e-20	6.258059463552148398e-20
-2.225407355	-1.116825987436470863e-20	6.248854402372569194e-20
-2.225346320	-1.169705487621596471e-20	6.239201125430323789e-20
-2.225285285	-1.222502158365287101e-20	6.229100306595814885e-20
-2.225224250	-1.275212211147465107e-20	6.218552651865892214e-20
-2.225163214	-1.327831863428017324e-20	6.207558899315719940e-20
-2.225102179	-1.380357338917622190e-20	6.196119819047891181e-20
-2.225041144	-1.432784867849573402e-20	6.184236213137919379e-20
-2.224980109	-1.485110687249713431e-20	6.171908915581440132e-20
-2.224919074	-1.537331041208138912e-20	6.159138792237227744e-20
-2.224858039	-1.589442181148040298e-20	6.145926740767919914e-20
-2.224797003	-1.641440366095874322e-20	6.132273690578025663e-20
-2.224735968	-1.693321862949535901e-20	6.118180602750019369e-20
-2.224674933	-1.745082946747398211e-20	6.103648469977801087e-20
-2.224613898	-1.796719900935295627e-20	6.088678316498259837e-20
-2.224552863	-1.848229017634775972e-20	6.073271198020090027e-20
-2.224491828	-1.899606597908312809e-20	6.057428201651010559e-20
-2.224430793	-1.950848952026946206e-20	6.041150445821863934e-20
-2.224369757	-2.001952399734080672e-20	6.024439080209380439e-20
-2.224308722	-2.052913270511225870e-20	6.007295285655951128e-20
-2.224247687	-2.103727903841512288e-20	5.989720274087598857e-20
-2.224186652	-2.154392649473468705e-20	5.971715288429431161e-20
-2.224125617	-2.204903867682958299e-20	5.953281602519228595e-20
-2.224064582	-2.255257929536026853e-20	5.934420521018238061e-20
-2.224003546	-2.305451217149125982e-20	5.915133379320427810e-20
-2.223942511	-2.355480123950173847e-20	5.895421543458930575e-20
-2.223881476	-2.405341054938608351e-20	5.875286410012810510e-20
-2.223820441	-2.455030426946004586e-20	5.854729406011569563e-20
-2.223759406	-2.504544668891434185e-20	5.833751988831583001e-20
-2.223698371	-2.553880222039616369e-20	5.812355646092864749e-20
-2.223637336	-2.603033540255931832e-20	5.790541895555306713e-20
-2.223576300	-2.652001090262819998e-20	5.768312285011795683e-20
-2.223515265	-2.700779351893531416e-20	5.745668392179939965e-20
-2.223454230	-2.749364818346452531e-20	5.722611824590938400e-20
-2.223393195	-2.797753996436851211e-20	5.699144219477089211e-20
-2.223332160	-2.845943406849555141e-20	5.675267243656249850e-20
-2.223271125	-2.893929584388703109e-20	5.650982593415108794e-20
-2.223210089	-2.941709078228375600e-20	5.626291994389426404e-20
-2.223149054	-2.989278452160685266e-20	5.601197201442898748e-20
-2.223088019	-3.036634284843963093e-20	5.575699998543372064e-20
-2.223026984	-3.083773170048790532e-20	5.549802198637509258e-20
-2.222965949	-3.130691716904481220e-20	5.523505643522584360e-20
-2.222904914	-3.177386550142660562e-20	5.496812203717162345e-20
-2.222843878	-3.223854310341725823e-20	5.469723778328624042e-20
-2.222782843	-3.270091654167992418e-20	5.442242294919882152e-20
-2.222721808	-3.316095254617901272e-20	5.414369709372756382e-20
-2.222660773	-3.361861801257333065e-20	5.386108005750936304e-20
-2.222599738	-3.407388000459550864e-20	5.357459196160754076e-20
-2.222538703	-3.452670575644895337e-20	5.328425320607066501e-20
-2.222477668	-3.497706267516100300e-20	5.299008446849787090e-20
-2.222416632	-3.542491834294421349e-20	5.269210670257192790e-20
-2.222355597	-3.587024051953212049e-20	5.239034113658063127e-20
-2.222294562	-3.631299714451036682e-20	5.208480927191346919e-20
-2.222233527	-3.675315633962673515e-20	5.177553288154403219e-20
-2.222172492	-3.719068641110389487e-20	5.146253400848198672e-20
-2.222111457	-3.762555585191558652e-20	5.114583496422201543e-20
-2.222050421	-3.805773334407321222e-20	5.082545832715695926e-20
-2.221989386	-3.848718776088362134e-20	5.050142694098234095e-20
-2.221928351	-3.891388816920205739e-20	5.017376391307527969e-20
-2.221867316	-3.933780383166156034e-20	4.984249261286225950e-20
-2.221806281	-3.975890420890399995e-20	4.950763667015554705e-20
-2.221745246	-4.017715896177897021e-20	4.916921997348520995e-20
-2.221684211	-4.059253795354511521e-20	4.882726666839904418e-20
-2.221623175	-4.100501125204340268e-20	4.848180115575512892e-20
-2.221562140	-4.141454913186761690e-20	4.813284808998617241e-20
-2.221501105	-4.182112207651019377e-20	4.778043237735732177e-20
-2.221440070	-4.222470078056181335e-20	4.742457917421173712e-20
-2.221379035	-4.262525615181692277e-20	4.706531388519297028e-20
-2.221318000	-4.302275931334111370e-20	4.670266216140707988e-20
-2.221256964	-4.341718160554995308e-20	4.633664989860850771e-20
-2.221195929	-4.380849458829244808e-20	4.596730323535255218e-20
-2.221134894	-4.419667004289965782e-20	4.559464855114820888e-20
-2.221073859	-4.458167997424019628e-20	4.521871246457248655e-20
-2.221012824	-4.496349661273687951e-20	4.483952183138899025e-20
-2.220951789	-4.534209241638865118e-20	4.445710374262888257e-20
-2.220890753	-4.571744007275671591e-20	4.407148552267407178e-20
-2.220829718	-4.608951250095078088e-20	4.368269472730708740e-20
-2.220768683	-4.645828285358757010e-20	4.329075914175562335e-20
-2.220707648	-4.682372451874259795e-20	4.289570677870999164e-20
-2.220646613	-4.718581112187068846e-20	4.249756587633987199e-20
-2.220585578	-4.754451652772890802e-20	4.209636489627346361e-20
-2.220524543	-4.789981484226470495e-20	4.169213252158047078e-20
-2.220463507	-4.825168041449955931e-20	4.128489765472390048e-20
-2.220402472	-4.860008783835360888e-20	4.087468941548551682e-20
-2.220341437	-4.894501195441575937e-20	4.046153713883550373e-20
-2.220280402	-4.928642785185072818e-20	4.004547037291018436e-20
-2.220219367	-4.962431087023277652e-20	3.962651887692046717e-20
-2.220158332	-4.995863660133471771e-20	3.920471261903479754e-20
-2.220097296	-5.028938089090360657e-20	3.878008177424001536e-20
-2.220036261	-5.061651984041207178e-20	3.835265672219608568e-20
-2.219975226	-5.094002980879941070e-20	3.792246804506491973e-20
-2.219914191	-5.125988741418534202e-20	3.748954652533680640e-20
-2.219853156	-5.157606953557648202e-20	3.705392314362696790e-20
-2.219792121	-5.188855331453985129e-20	3.661562907647737553e-20
-2.219731086	-5.219731615687419074e-20	3.617469569412156953e-20
-2.219670050	-5.250233573424552145e-20	3.573115455825878963e-20
-2.219609015	-5.280358998582118794e-20	3.528503741978986987e-20
-2.219547980	-5.310105711986538878e-20	3.483637621656679549e-20
-2.219486945	-5.339471561533789708e-20	3.438520307109634440e-20
-2.219425910	-5.368454422345004937e-20	3.393155028826498014e-20
-2.219364875	-5.397052196923248268e-20	3.347545035302489523e-20
-2.219303839	-5.425262815320773846e-20	3.301693592817259534e-20
-2.219242804	-5.453084235286766156e-20	3.255603985199091715e-20
-2.219181769	-5.480514442404869469e-20	3.209279513581867924e-20
-2.219120734	-5.507551450239130004e-20	3.162723496170192628e-20
-2.219059699	-5.534193300479554702e-20	3.115939268001277546e-20
-2.218998664	-5.560438063084370040e-20	3.068930180707865687e-20
-2.218937628	-5.586283836421579088e-20	3.021699602277602060e-20
-2.218876593	-5.611728747407404575e-20	2.974250916813147654e-20
-2.218815558	-5.636770951643246581e-20	2.926587524290107506e-20
-2.218754523	-5.661408633550486800e-20	2.878712840314015654e-20
-2.218693488	-5.685640006503294652e-20	2.830630295876021894e-20
-2.218632453	-5.709463312959005517e-20	2.782343337108177706e-20
-2.218571418	-5.732876824587201372e-20	2.733855425036060185e-20
-2.218510382	-5.755878842395649765e-20	2.685170035332423026e-20
-2.218449347	-5.778467696855255733e-20	2.636290658067487073e-20
-2.218388312	-5.800641748021789008e-20	2.587220797460536881e-20
-2.218327277	-5.822399385656712040e-20	2.537963971627859518e-20
-2.218266242	-5.843739029340469224e-20	2.488523712329805270e-20
-2.218205207	-5.864659128582008507e-20	2.438903564711835218e-20
-2.218144171	-5.885158162940827577e-20	2.389107087059264897e-20
-2.218083136	-5.905234642141145392e-20	2.339137850542266959e-20
-2.218022101	-5.924887106180894170e-20	2.288999438961527746e-20
-2.217961066	-5.944114125439429428e-20	2.238695448490796801e-20
-2.217900031	-5.962914300782345106e-20	2.188229487420277468e-20
-2.217838996	-5.981286263664747951e-20	2.137605175897624521e-20
-2.217777961	-5.999228676231883746e-20	2.086826145669049826e-20
-2.217716925	-6.016740231417855662e-20	2.035896039818998909e-20
-2.217655890	-6.033819653041817239e-20	1.984818512509738440e-20
-2.217594855	-6.050465695902446470e-20	1.933597228718853490e-20
-2.217533820	-6.066677145869576733e-20	1.882235863977638233e-20
-2.217472785	-6.082452819974277351e-20	1.830738104106744308e-20
-2.217411750	-6.097791566496094607e-20	1.779107644952942004e-20
-2.217350714	-6.112692265049273217e-20	1.727348192123891723e-20
-2.217289679	-6.127153826672080967e-20	1.675463460725014699e-20
-2.217228644	-6.141175193904710164e-20	1.623457175091090294e-20
-2.217167609	-6.154755340863563169e-20	1.571333068519056682e-20
-2.217106574	-6.167893273317688940e-20	1.519094882999571427e-20
-2.217045539	-6.180588028762577448e-20	1.466746368949420971e-20
-2.216984503	-6.192838676492053438e-20	1.414291284941895556e-20
-2.216923468	-6.204644317667509997e-20	1.361733397438042555e-20
-2.216862433	-6.216004085385307678e-20	1.309076480515478980e-20
-2.216801398	-6.226917144741335284e-20	1.256324315599012270e-20
-2.216740363	-6.237382692893864998e-20	1.203480691188053787e-20
-2.216679328	-6.247399959123569172e-20	1.150549402585976013e-20
-2.216618293	-6.256968204891719528e-20	1.097534251626647048e-20
-2.216557257	-6.266086723895582916e-20	1.044439046402959196e-20
-2.216496222	-6.274754842122033193e-20	9.912676009921177786e-21
-2.216435187	-6.282971917898266966e-20	9.380237351834142502e-21
-2.216374152	-6.290737341938990089e-20	8.847112742010902937e-21
-2.216313117	-6.298050537391249697e-20	8.313340484310882346e-21
-2.216252082	-6.304910959881470229e-20	7.778958931460118443e-21
-2.216191046	-6.311318097557232871e-20	7.244006482315028528e-21
-2.216130011	-6.317271471126849799e-20	6.708521579091705730e-21
-2.216068976	-6.322770633896266207e-20	6.172542704616828549e-21
-2.216007941	-6.327815171803884728e-20	5.636108379553951594e-21
-2.215946906	-6.332404703452877724e-20	5.099257159642896413e-21
-2.215885871	-6.336538880141204108e-20	4.562027632930979684e-21
-2.215824836	-6.340217385889351161e-20	4.024458416991746182e-21
-2.215763800	-6.343439937465563012e-20	3.486588156164725987e-21
-2.215702765	-6.346206284408918091e-20	2.948455518762324113e-21
-2.215641730	-6.348516209049857138e-20	2.410099194305406867e-21
-2.215580695	-6.350369526529060923e-20	1.871557890732865587e-21
-2.215519660	-6.351766084817436590e-20	1.332870331625402736e-21
-2.215458625	-6.352705764727365082e-20	7.940752534150820976e-22
-2.215397589	-6.353188479921511071e-20	2.552114026057109143e-22
-2.215336554	-6.353214176921683438e-20	-2.836824670193416508e-22
-2.215275519	-6.352782835115238989e-20	-8.225675971792899693e-22
-2.215214484	-6.351894466759200336e-20	-1.361405227886793174e-21
-2.215153449	-6.350549116981978397e-20	-1.900156600231993251e-21
-2.215092414	-6.348746863782722402e-20	-2.438782959174875447e-21
-2.215031378	-6.346487818028344321e-20	-2.977245556325885391e-21
-2.214970343	-6.343772123448125065e-20	-3.515505652742598016e-21
-2.214909308	-6.340599956626009559e-20	-4.053524521709721636e-21
-2.214848273	-6.336971526990484776e-20	-4.591263451531147176e-21
-2.214787238	-6.332887076802175546e-20	-5.128683748308559149e-21
-2.214726203	-6.328346881142944995e-20	-5.665746738752416551e-21
-2.214665168	-6.323351247903438594e-20	-6.202413772978351227e-21
-2.214604132	-6.317900517755800953e-20	-6.738646227267666458e-21
-2.214543097	-6.311995064130650126e-20	-7.274405506835323350e-21
-2.214482062	-6.305635293192703762e-20	-7.809653048618562506e-21
-2.214421027	-6.298821643814255440e-20	-8.344350324042846375e-21
-2.214359992	-6.291554587546081091e-20	-8.878458841807154933e-21
-2.214298957	-6.283834628586199208e-20	-9.411940150646221366e-21
-2.214237921	-6.275662303746100867e-20	-9.944755842107172357e-21
-2.214176886	-6.267038182414754103e-20	-1.047686755331179461e-20
-2.214115851	-6.257962866520171969e-20	-1.100823696972372604e-20
-2.214054816	-6.248436990488479311e-20	-1.153882582790402519e-20
-2.213993781	-6.238461221184188469e-20	-1.206859591824414103e-20
-2.213932746	-6.228036257855472781e-20	-1.259750908767754260e-20
-2.213871711	-6.217162832110376526e-20	-1.312552724248850125e-20
-2.213810675	-6.205841707869471963e-20	-1.365261235104426149e-20
-2.213749640	-6.194073681313149028e-20	-1.417872644655158392e-20
-2.213688605	-6.181859580827246338e-20	-1.470383162977888768e-20
-2.213627570	-6.169200266945644030e-20	-1.522789007180463377e-20
-2.213566535	-6.156096632291226787e-20	-1.575086401673188114e-20
-2.213505500	-6.142549601514041026e-20	-1.627271578441809683e-20
-2.213444464	-6.128560131227364855e-20	-1.679340777319096990e-20
-2.213383429	-6.114129209941397100e-20	-1.731290246256154427e-20
