# time (s)	h_+ (strain)	h_x (strain)	h_abs (strain)	 h_arg (rad)
-1.383853912	-1.123619584577229396e-19	-4.819742190830813980e-20	1.222628364919713499e-19	3.294620188622138812e+02
-1.383792877	-1.119898596041493134e-19	-4.905891210262775212e-20	1.222640810330263365e-19	3.294543434979307790e+02
-1.383731842	-1.116111496585911351e-19	-4.991754311378500877e-20	1.222653255777328383e-19	3.294466680133876935e+02
-1.383670807	-1.112258505047632317e-19	-5.077326417477953512e-20	1.222665701468307853e-19	3.294389924085431289e+02
-1.383609772	-1.108339843939381900e-19	-5.162602466538951415e-20	1.222678147321981941e-19	3.294313166834276103e+02
-1.383548737	-1.104355739592888766e-19	-5.247577413833525221e-20	1.222690593205621332e-19	3.294236408380183434e+02
-1.383487701	-1.100306422555040954e-19	-5.332246232986055709e-20	1.222703039338584632e-19	3.294159648723278337e+02
-1.383426666	-1.096192127280013208e-19	-5.416603915701201892e-20	1.222715486000965129e-19	3.294082887863497717e+02
-1.383365631	-1.092013090519469289e-19	-5.500645463761153529e-20	1.222727931735365413e-19	3.294006125800797804e+02
-1.383304596	-1.087769555672636830e-19	-5.584365911002569997e-20	1.222740378219318130e-19	3.293929362535135965e+02
-1.383243561	-1.083461767841706569e-19	-5.667760298838354949e-20	1.222752824746505568e-19	3.293852598066713995e+02
-1.383182526	-1.079089976186066251e-19	-5.750823689279446453e-20	1.222765270915485925e-19	3.293775832395151042e+02
-1.383121490	-1.074654434954698495e-19	-5.833551169166998090e-20	1.222777717739695574e-19	3.293699065520835916e+02
-1.383060455	-1.070155400164340806e-19	-5.915937834849756148e-20	1.222790163993384830e-19	3.293622297443457683e+02
-1.382999420	-1.065593133483051081e-19	-5.997978811775693925e-20	1.222802610559582219e-19	3.293545528163187441e+02
-1.382938385	-1.060967899462361365e-19	-6.079669240811763004e-20	1.222815057343628767e-19	3.293468757680057593e+02
-1.382877350	-1.056279965943405675e-19	-6.161004280876930783e-20	1.222827503756454244e-19	3.293391985993737876e+02
-1.382816315	-1.051529606078824936e-19	-6.241979119747355239e-20	1.222839951004998982e-19	3.293315213104485224e+02
-1.382755279	-1.046717094186101985e-19	-6.322588951340978922e-20	1.222852397363470383e-19	3.293238439012342269e+02
-1.382694244	-1.041842711748285017e-19	-6.402829011869133464e-20	1.222864845179282620e-19	3.293161663716992393e+02
-1.382633209	-1.036906739622404478e-19	-6.482694531858730949e-20	1.222877291721567422e-19	3.293084887218790868e+02
-1.382572174	-1.031909465807467620e-19	-6.562180785626536959e-20	1.222889738388344818e-19	3.293008109517389244e+02
-1.382511139	-1.026851180922258479e-19	-6.641283062374706837e-20	1.222902185339158121e-19	3.292931330613058094e+02
-1.382450104	-1.021732178656957850e-19	-6.719996670508073032e-20	1.222914632106219170e-19	3.292854550505648490e+02
-1.382389069	-1.016552757941643626e-19	-6.798316951501124768e-20	1.222927080168493625e-19	3.292777769195091651e+02
-1.382328033	-1.011313218214865090e-19	-6.876239248859234768e-20	1.222939527291365898e-19	3.292700986681509789e+02
-1.382266998	-1.006013865332303048e-19	-6.953758948109482320e-20	1.222951974660071573e-19	3.292624202964892675e+02
-1.382205963	-1.000655007862462061e-19	-7.030871453078540823e-20	1.222964422482261527e-19	3.292547418044892993e+02
-1.382144928	-9.952369567895501293e-20	-7.107572181881805895e-20	1.222976869514025517e-19	3.292470631922043367e+02
-1.382083893	-9.897600295022570319e-20	-7.183856598343453432e-20	1.222989318128304958e-19	3.292393844595935093e+02
-1.382022858	-9.842245423753473490e-20	-7.259720157243208240e-20	1.223001765096353167e-19	3.292317056066640362e+02
-1.381961822	-9.786308199670512173e-20	-7.335158371612987405e-20	1.223014212981935828e-19	3.292240266334296734e+02
-1.381900787	-9.729791875990975887e-20	-7.410166760079475522e-20	1.223026661043359022e-19	3.292163475398684227e+02
-1.381839752	-9.672699739854327429e-20	-7.484740864752330537e-20	1.223039108409340469e-19	3.292086683260041582e+02
-1.381778717	-9.615035133194843000e-20	-7.558876269575693698e-20	1.223051556850019714e-19	3.292009889918044223e+02
